342	113.33	22.13
164	114.35	36.1
116	117.03	30.52
255	101.72	31.93
261	105.92	26.25
297	109.02	32.7
2	116.46	39.92
29	115.48	38.85
291	107.15	34.38
47	110.0	40.58
112	117.34	32.93
228	109.12	21.49
60	123.73	41.3
158	118.03	37.36
233	106.62	23.91
77	122.82	45.63
253	106.73	31.86
391	109.7	18.64
390	109.44	19.23
8	104.06	30.67
9	106.54	29.59
344	113.0	28.21
70	125.35	43.88
93	119.95	31.79
31	117.93	40.97
32	116.83	38.33
119	118.31	32.33
197	111.69	29.05
221	116.63	23.68
122	117.87	31.62
49	118.87	42.28
38	113.08	36.18
200	113.0	25.79
68	120.42	41.58
394	107.37	22.42
392	109.03	19.25
19	121.62	38.92
219	113.75	23.04
36	113.3	40.12
84	125.03	46.58
147	118.49	37.46
61	124.37	40.13
156	116.29	37.45
241	104.37	31.13
309	104.57	35.57
396	108.64	19.09
14	119.3	26.08
208	113.11	23.05
59	123.97	41.97
64	121.65	42.0
120	115.81	32.89
143	116.34	28.0
4	113.23	23.16
258	106.71	26.57
226	110.28	25.29
140	114.92	25.85
250	106.61	30.48
312	123.48	47.9
324	106.28	36.01
3	120.19	30.26
79	126.63	45.75
110	117.27	31.86
23	110.35	20.02
46	111.65	40.82
27	114.47	36.6
103	120.1	30.86
213	114.4	23.09
96	119.15	33.5
185	114.87	30.44
177	115.09	30.2
89	127.53	50.22
194	112.39	26.98
216	114.68	23.73
113	116.98	32.62
115	116.77	33.97
295	108.04	33.07
202	109.95	27.52
34	115.72	37.72
235	108.06	24.7
273	102.42	23.35
165	114.17	35.9
82	130.3	47.33
22	117.0	36.65
102	120.76	30.77
105	119.64	29.12
209	113.06	22.61
71	126.57	43.87
137	115.97	29.71
62	121.15	41.13
150	116.59	35.38
135	117.22	29.3
222	116.35	23.55
86	130.35	46.83
182	112.19	31.02
167	113.21	35.24
141	114.97	27.12
307	98.5	39.71
39	112.83	35.52
397	112.57	35.08
267	102.73	25.04
161	114.35	34.79
326	84.77	45.59
299	103.73	36.03
279	100.25	26.86
33	116.7	39.53
162	112.44	34.7
95	119.16	34.59
225	109.4	24.33
155	118.35	35.05
283	91.11	29.97
65	123.17	41.28
132	117.01	25.12
157	115.97	36.45
44	111.5	36.08
109	119.92	28.45
154	117.67	36.19
240	105.39	28.91
123	116.49	31.73
170	114.02	33.56
73	125.15	42.97
259	104.82	26.58
203	111.96	27.71
398	109.24	23.76
401	110.02	18.48
399	109.17	18.73
211	110.88	21.68
242	104.73	31.48
214	116.1	24.55
114	118.48	31.56
88	129.58	44.6
5	118.78	32.04
11	121.56	29.86
134	115.89	28.68
224	108.33	22.84
94	121.05	32.08
131	118.11	27.34
172	112.53	33.01
133	119.52	26.65
245	105.04	29.59
287	92.1	31.47
168	114.98	35.71
127	119.0	25.44
163	113.29	33.75
136	113.85	27.6
306	106.68	35.51
21	120.33	36.07
129	118.58	24.93
26	119.57	39.95
218	113.01	23.7
106	118.88	28.97
80	123.97	47.33
230	108.61	21.96
268	103.79	25.51
308	107.88	36.03
87	130.83	45.82
403	109.83	19.05
402	110.46	19.25
153	119.46	35.42
1	121.48	31.22
7	114.07	22.62
6	120.62	31.32
18	123.38	41.8
24	114.48	38.03
207	116.69	23.39
104	120.58	30.01
205	113.62	24.84
144	117.97	28.47
178	110.79	32.65
121	116.97	33.63
195	111.5	27.22
128	117.61	26.23
72	124.37	43.17
100	118.3	33.96
173	115.65	34.44
339	85.94	44.27
244	105.58	30.52
171	111.19	34.76
322	106.39	39.04
83	131.17	46.65
90	127.0	46.63
275	101.0	22.79
10	117.2	39.13
35	112.53	37.87
25	118.02	39.63
151	117.13	36.18
99	119.9	32.49
67	123.85	42.32
74	125.92	41.49
116	117.82	30.93
50	122.28	43.63
303	105.69	34.6
290	109.11	35.09
13	120.29	31.59
16	114.31	30.52
325	87.68	43.77
101	120.65	28.01
152	122.1	37.5
149	119.1	36.62
111	118.38	31.33
227	111.34	23.51
293	109.5	34.52
48	106.82	39.67
323	106.21	37.99
304	102.61	37.94
407	110.39	18.8
408	110.72	19.61
15	118.1	24.46
17	108.95	34.27
313	101.74	36.56
341	114.1	22.2
92	117.2	34.26
166	113.85	35.31
28	114.48	37.05
292	108.72	34.36
169	113.81	34.02
193	112.91	27.87
138	114.92	27.81
126	118.73	31.95
186	114.28	29.87
174	114.08	32.13
183	113.91	31.92
12	119.42	32.39
148	121.39	37.52
179	111.3	30.7
321	106.27	38.47
217	111.95	21.85
97	120.13	33.38
63	122.18	40.65
196	113.09	29.37
294	109.47	36.6
296	109.77	38.3
249	104.56	29.77
223	112.02	22.93
252	102.97	29.97
199	112.33	28.6
269	102.52	24.35
142	114.38	27.81
139	117.02	28.23
232	110.14	22.64
42	110.97	35.03
37	113.57	37.85
201	111.63	26.22
85	128.92	47.73
319	96.97	33.03
160	113.65	34.76
206	113.52	22.3
220	113.38	22.52
98	119.44	32.2
212	112.44	23.05
145	118.05	36.78
30	114.87	40.82
192	113.16	27.83
146	117.57	34.86
130	117.35	24.52
260	106.9	27.7
175	114.63	33.63
351	105.18	37.51
176	114.02	32.98
305	100.46	38.93
254	104.6	30.19
27	103.7	29.32
